barrio;cant_consultas;tipo_consultas
VILLA LURO;8292;totales
VILLA LURO;5422;cerradas
RECOLETA;17655;totales
RECOLETA;12547;cerradas
VILLA GRAL. MITRE;8195;totales
VILLA GRAL. MITRE;5951;cerradas
FLORES;31579;totales
FLORES;23481;cerradas
VILLA DEL PARQUE;16921;totales
VILLA DEL PARQUE;13002;cerradas
COGHLAN;5985;totales
COGHLAN;4665;cerradas
MATADEROS;13783;totales
MATADEROS;8807;cerradas
VELEZ SARSFIELD;7902;totales
VELEZ SARSFIELD;5006;cerradas
MONTE CASTRO;11066;totales
MONTE CASTRO;7340;cerradas
PARQUE CHAS;5921;totales
PARQUE CHAS;4272;cerradas
PALERMO;43038;totales
PALERMO;32230;cerradas
PARQUE PATRICIOS;6517;totales
PARQUE PATRICIOS;4577;cerradas
BARRACAS;18596;totales
BARRACAS;14647;cerradas
VILLA LUGANO;23373;totales
VILLA LUGANO;18319;cerradas
SAAVEDRA;13607;totales
SAAVEDRA;10448;cerradas
VILLA DEVOTO;23583;totales
VILLA DEVOTO;17686;cerradas
BALVANERA;17639;totales
BALVANERA;12735;cerradas
VILLA ORTUZAR;6193;totales
VILLA ORTUZAR;4584;cerradas
VILLA PUEYRREDON;12547;totales
VILLA PUEYRREDON;9673;cerradas
VILLA URQUIZA;26674;totales
VILLA URQUIZA;21083;cerradas
CABALLITO;32288;totales
CABALLITO;24489;cerradas
CHACARITA;8822;totales
CHACARITA;6673;cerradas
VILLA SOLDATI;8215;totales
VILLA SOLDATI;6973;cerradas
RETIRO;6012;totales
RETIRO;4711;cerradas
FLORESTA;9608;totales
FLORESTA;6800;cerradas
BELGRANO;25370;totales
BELGRANO;19175;cerradas
COLEGIALES;10689;totales
COLEGIALES;7988;cerradas
VERSALLES;4072;totales
VERSALLES;2607;cerradas
PARQUE AVELLANEDA;12925;totales
PARQUE AVELLANEDA;9000;cerradas
NUÑEZ;11747;totales
NUÑEZ;8866;cerradas
CONSTITUCION;4120;totales
CONSTITUCION;2817;cerradas
SAN CRISTOBAL;8599;totales
SAN CRISTOBAL;6326;cerradas
MONSERRAT;4515;totales
MONSERRAT;2903;cerradas
VILLA RIACHUELO;2958;totales
VILLA RIACHUELO;1735;cerradas
AGRONOMIA;4814;totales
AGRONOMIA;3617;cerradas
VILLA SANTA RITA;10147;totales
VILLA SANTA RITA;7664;cerradas
PATERNAL;5956;totales
PATERNAL;4423;cerradas
PUERTO MADERO;6561;totales
PUERTO MADERO;5734;cerradas
BOEDO;7598;totales
BOEDO;5728;cerradas
ALMAGRO;18924;totales
ALMAGRO;14738;cerradas
SAN NICOLAS;5718;totales
SAN NICOLAS;3955;cerradas
LINIERS;11229;totales
LINIERS;7249;cerradas
NUEVA POMPEYA;6456;totales
NUEVA POMPEYA;4686;cerradas
PARQUE CHACABUCO;11340;totales
PARQUE CHACABUCO;8349;cerradas
VILLA CRESPO;16863;totales
VILLA CRESPO;12469;cerradas
SAN TELMO;2925;totales
SAN TELMO;1958;cerradas
VILLA REAL;3637;totales
VILLA REAL;2270;cerradas
BOCA;3460;totales
BOCA;2335;cerradas
